,연도,팀명,G,W,D,L,WPCT,R,R(A),RD,WIN,POST,AVG,PA,AB,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ERA,SV,HLD,HA,HR(A),BB(A),HBP(A),K,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG(A),2B(A),3B(A),GDP(A),SAC(A),IBB(A),WP,BK,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,SBA(R),SB(R),CS(R),SB(R)%,OOB,PKO(R)
0,2001,KIA,133,60,5,68,0.469,683,727,-44,N,N,0.278,5189,4542,1263,221,17,142,1944,637,51,43,497,21,56,774,129,0.428,0.353,0.781,133,0.272,0.225,5.01,28,16,1231,160,499,79,743,656,1.47,10,6,35,0,5207,19799,0.272,212,16,71,36,17,51,3,107,1,3536,1477,134,0.979,10,100,53,34.6,155,92,63,59.4,0,0
1,2001,LG,133,58,8,67,0.464,669,732,-63,N,N,0.276,5319,4521,1247,219,24,85,1769,630,114,41,590,24,52,759,100,0.391,0.363,0.754,133,0.28,0.263,5.09,26,27,1253,127,647,69,765,670,1.6,0,3,43,0,5380,21119,0.277,204,23,99,46,43,52,6,103,12,3554,1485,129,0.98,16,110,55,33.3,154,96,58,62.3,0,0
2,2001,SK,133,60,2,71,0.458,596,640,-44,N,N,0.26,5077,4400,1143,215,11,113,1719,555,122,26,457,23,71,770,95,0.391,0.337,0.728,133,0.255,0.274,4.38,33,22,1148,155,508,65,908,570,1.41,11,8,61,0,5110,19710,0.259,217,9,76,34,31,54,1,96,3,3514,1434,124,0.981,19,106,44,29.3,182,123,59,67.6,0,0
3,2001,두산,133,65,5,63,0.508,732,733,-1,Y,Y,0.276,5303,4583,1266,221,26,130,1929,688,54,46,560,27,60,697,116,0.421,0.359,0.78,133,0.278,0.163,4.96,35,40,1290,128,546,60,799,650,1.56,1,3,27,0,5282,20071,0.284,196,23,85,48,17,47,0,109,3,3541,1599,140,0.979,12,126,56,30.8,166,132,34,79.5,0,0
4,2001,롯데,133,59,4,70,0.457,718,670,48,N,N,0.28,5308,4521,1265,247,24,121,1923,671,82,60,585,39,60,817,89,0.425,0.365,0.79,133,0.288,0.244,4.68,33,28,1238,128,523,61,790,609,1.5,0,3,43,0,5189,19593,0.276,251,22,86,38,23,53,2,99,9,3515,1518,141,0.981,12,85,58,40.6,159,106,53,66.7,0,0
5,2001,삼성,133,81,0,52,0.609,739,644,95,N,Y,0.277,5280,4553,1262,244,21,162,2034,695,69,42,520,27,95,814,111,0.447,0.36,0.807,133,0.267,0.223,4.39,43,20,1195,132,561,61,844,579,1.48,7,6,51,0,5243,20128,0.265,207,13,76,37,20,38,8,79,7,3562,1365,112,0.984,10,95,48,33.6,117,73,44,62.4,0,0
6,2001,한화,133,61,4,68,0.473,659,733,-74,N,Y,0.275,5259,4556,1255,211,15,148,1940,628,75,34,549,28,45,877,106,0.426,0.357,0.783,133,0.265,0.233,4.82,25,33,1288,142,541,66,813,634,1.54,7,5,49,0,5331,20774,0.28,238,26,73,45,44,57,5,117,2,3555,1413,130,0.977,9,111,48,30.2,200,135,65,67.5,0,0
7,2001,현대,133,72,4,57,0.558,711,628,83,N,Y,0.268,5225,4445,1192,166,20,169,1905,667,77,29,598,14,76,911,109,0.429,0.362,0.791,133,0.279,0.232,4.34,39,23,1250,98,531,54,757,570,1.51,6,3,56,0,5218,20097,0.277,219,26,78,37,8,54,1,116,6,3550,1553,147,0.978,5,96,69,41.8,154,99,55,64.3,0,0
8,2002,KIA,133,78,4,51,0.605,643,580,63,N,Y,0.269,5200,4575,1230,220,14,120,1838,611,45,35,454,32,91,914,107,0.402,0.344,0.746,133,0.268,0.25,3.92,38,30,1185,151,370,97,862,520,1.3,10,7,55,0,5106,19112,0.26,159,12,54,34,14,55,2,101,1,3585,1403,127,0.98,12,75,60,44.4,194,155,39,79.9,54,8
9,2002,LG,133,66,6,61,0.52,583,575,8,N,Y,0.261,5121,4492,1173,212,22,100,1729,541,93,37,412,29,86,951,91,0.385,0.332,0.717,133,0.258,0.178,3.93,32,40,1119,135,501,100,896,520,1.36,2,9,38,0,5145,20432,0.252,185,19,74,26,30,40,5,91,10,3572,1369,139,0.982,8,67,48,41.7,203,140,63,69,46,7
